date,vendor,category,description,amount,reference_no
2026-01-04,BrightSpark Marketing,Marketing,Ad creative design,77000,EXP-5001
2026-01-17,BrightSpark Marketing,Marketing,Ad creative design,65500,EXP-5002
2026-01-25,BrightSpark Marketing,Marketing,SEO retainer,71000,EXP-5003
2026-02-17,BrightSpark Marketing,Marketing,SEO retainer,65000,EXP-5004
2026-02-05,BrightSpark Marketing,Marketing,SEO retainer,64000,EXP-5005
2026-02-15,BrightSpark Marketing,Marketing,SEO retainer,67000,EXP-5006
2026-03-03,BrightSpark Marketing,Marketing,Social media campaign,77500,EXP-5007
2026-03-25,BrightSpark Marketing,Marketing,Influencer collaboration,61000,EXP-5008
2026-03-05,BrightSpark Marketing,Marketing,Ad creative design,76000,EXP-5009
2026-04-19,BrightSpark Marketing,Marketing,SEO retainer,64000,EXP-5010
2026-04-07,BrightSpark Marketing,Marketing,Influencer collaboration,63000,EXP-5011
2026-04-04,BrightSpark Marketing,Marketing,SEO retainer,69500,EXP-5012
2026-05-19,BrightSpark Marketing,Marketing,Social media campaign,76000,EXP-5013
2026-05-19,BrightSpark Marketing,Marketing,Social media campaign,61000,EXP-5014
2026-05-26,BrightSpark Marketing,Marketing,Ad creative design,79500,EXP-5015
2026-06-17,BrightSpark Marketing,Marketing,SEO retainer,63500,EXP-5016
2026-06-14,BrightSpark Marketing,Marketing,Social media campaign,64500,EXP-5017
2026-06-02,BrightSpark Marketing,Marketing,SEO retainer,63500,EXP-5018
2026-07-14,BrightSpark Marketing,Marketing,SEO retainer,65500,EXP-5019
2026-07-13,BrightSpark Marketing,Marketing,SEO retainer,65500,EXP-5020
2026-07-13,BrightSpark Marketing,Marketing,SEO retainer,65500,EXP-5020
2026-07-12,BrightSpark Marketing,Marketing,Influencer collaboration,350000,EXP-5021
